Item Code,Item Name,Item Group Name,Service Type,UOM,Price
100041,ABAYA,Gent & Ladies,Dry Cleaning,PCS,15.00
100041,ABAYA,Gent & Ladies,Pressing Only,PCS,10.00
100041,ABAYA,Gent & Ladies,Washing & Pressing,PCS,12.00
100040,ABAYA SPECIAL,Gent & Ladies,Dry Cleaning,PCS,25.00
100040,ABAYA SPECIAL,Gent & Ladies,Pressing Only,PCS,10.00
100040,ABAYA SPECIAL,Gent & Ladies,Washing & Pressing,PCS,20.00
100068,APRON,Gent & Ladies,Pressing Only,PCS,3.00
100068,APRON,Gent & Ladies,Washing & Pressing,PCS,5.00
100049,BATH ROBE,Gent & Ladies,Washing & Pressing,PCS,10.00
100042,BISHT,Gent & Ladies,Dry Cleaning,PCS,40.00
100042,BISHT,Gent & Ladies,Pressing Only,PCS,25.00
100042,BISHT,Gent & Ladies,Washing & Pressing,PCS,40.00
100168,BLOUSE (SPECIAL),Gent & Ladies,Dry Cleaning,PCS,10.00
100168,BLOUSE (SPECIAL),Gent & Ladies,Pressing Only,PCS,4.00
100168,BLOUSE (SPECIAL),Gent & Ladies,Washing & Pressing,PCS,8.00
100114,BRA,Gent & Ladies,Dry Cleaning,PCS,2.00
100114,BRA,Gent & Ladies,Washing & Pressing,PCS,2.00
100012,CAP,Gent & Ladies,Dry Cleaning,PCS,2.00
100012,CAP,Gent & Ladies,Washing & Pressing,PCS,2.00
100013,DISHDASHA,Gent & Ladies,Dry Cleaning,PCS,10.00
100013,DISHDASHA,Gent & Ladies,Pressing Only,PCS,4.00
100013,DISHDASHA,Gent & Ladies,Washing & Pressing,PCS,6.00
100160,DRESS - LONG,Gent & Ladies,Dry Cleaning,PCS,25.00
100160,DRESS - LONG,Gent & Ladies,Pressing Only,PCS,15.00
100160,DRESS - LONG,Gent & Ladies,Washing & Pressing,PCS,20.00
100159,DRESS - SHORT,Gent & Ladies,Dry Cleaning,PCS,20.00
100159,DRESS - SHORT,Gent & Ladies,Pressing Only,PCS,10.00
100159,DRESS - SHORT,Gent & Ladies,Washing & Pressing,PCS,15.00
100069,EPAULETTE,Gent & Ladies,Washing & Pressing,PCS,1.50
100182,EVENING DRESS,Gent & Ladies,Dry Cleaning,PCS,0.00
100182,EVENING DRESS,Gent & Ladies,Pressing Only,PCS,0.00
100182,EVENING DRESS,Gent & Ladies,Washing & Pressing,PCS,0.00
100034,GENTS SUIT (3 PCS),Gent & Ladies,Dry Cleaning,PCS,21.00
100034,GENTS SUIT (3 PCS),Gent & Ladies,Pressing Only,PCS,12.00
100034,GENTS SUIT (3 PCS),Gent & Ladies,Washing & Pressing,PCS,18.00
100014,GHUTRA,Gent & Ladies,Dry Cleaning,PCS,5.00
100014,GHUTRA,Gent & Ladies,Pressing Only,PCS,3.00
100014,GHUTRA,Gent & Ladies,Washing & Pressing,PCS,4.00
100096,HANKY,Gent & Ladies,Washing & Pressing,PCS,2.00
100050,HIJAB,Gent & Ladies,Dry Cleaning,PCS,4.00
100050,HIJAB,Gent & Ladies,Pressing Only,PCS,2.00
100050,HIJAB,Gent & Ladies,Washing & Pressing,PCS,3.00
100032,JACKET,Gent & Ladies,Dry Cleaning,PCS,14.00
100032,JACKET,Gent & Ladies,Pressing Only,PCS,7.00
100032,JACKET,Gent & Ladies,Washing & Pressing,PCS,12.00
100204,JALABIYA,Gent & Ladies,Pressing Only,PCS,6.00
100204,JALABIYA,Gent & Ladies,Washing & Pressing,PCS,10.00
100132,KAMEEZ,Gent & Ladies,Dry Cleaning,PCS,6.00
100132,KAMEEZ,Gent & Ladies,Pressing Only,PCS,4.00
100132,KAMEEZ,Gent & Ladies,Washing & Pressing,PCS,5.00
100134,KURTA,Gent & Ladies,Dry Cleaning,PCS,6.00
100134,KURTA,Gent & Ladies,Pressing Only,PCS,4.00
100134,KURTA,Gent & Ladies,Washing & Pressing,PCS,5.00
100184,KURTA PYJAMA (SET),Gent & Ladies,Dry Cleaning,PCS,11.00
100184,KURTA PYJAMA (SET),Gent & Ladies,Pressing Only,PCS,6.00
100184,KURTA PYJAMA (SET),Gent & Ladies,Washing & Pressing,PCS,10.00
100113,LAB COAT,Gent & Ladies,Dry Cleaning,PCS,10.00
100113,LAB COAT,Gent & Ladies,Pressing Only,PCS,4.00
100113,LAB COAT,Gent & Ladies,Washing & Pressing,PCS,8.00
100203,LADIES SUIT (3PCS),Gent & Ladies,Dry Cleaning,PCS,21.00
